Timestamp,Open,High,Low,Close,Volume
2020-09-01 00:00:00,6.08,15.97,6.08,8.804,8172284.239
2020-09-02 00:00:00,8.806,9.5,5.944,7.245,11293501.264
2020-09-03 00:00:00,7.242,8.945,4.56,4.86,14760107.922
2020-09-04 00:00:00,4.86,5.773,4.3,4.562,11142693.319
2020-09-05 00:00:00,4.561,5.059,1.311,1.884,48547457.474
2020-09-06 00:00:00,1.885,3.5,1.13,3.171,95427415.499
2020-09-07 00:00:00,3.176,3.38,2.18,2.85,50877821.176
2020-09-08 00:00:00,2.851,2.97,2.28,2.374,27337787.407
2020-09-09 00:00:00,2.375,3.188,2.153,2.88,38425426.536
2020-09-10 00:00:00,2.877,3.145,2.25,2.381,34906807.703
2020-09-11 00:00:00,2.383,2.945,2.028,2.711,44851135.677
2020-09-12 00:00:00,2.714,2.73,2.306,2.629,34128562.654
2020-09-13 00:00:00,2.629,2.645,2.18,2.329,19611441.945
2020-09-14 00:00:00,2.328,2.664,2.141,2.462,27596631.462
2020-09-15 00:00:00,2.461,2.64,1.679,1.757,46952316.605
2020-09-16 00:00:00,1.757,1.85,1.464,1.518,24325497.341
2020-09-17 00:00:00,1.519,1.656,1.319,1.534,26410234.884
2020-09-18 00:00:00,1.535,1.875,1.53,1.694,35026833.611
2020-09-19 00:00:00,1.694,1.948,1.604,1.775,24543400.682
2020-09-20 00:00:00,1.775,1.935,1.573,1.642,23131230.807
2020-09-21 00:00:00,1.644,1.75,1.349,1.411,17956521.94
2020-09-22 00:00:00,1.412,1.463,1.321,1.391,13042320.613
2020-09-23 00:00:00,1.39,1.452,1.215,1.269,25049977.035
2020-09-24 00:00:00,1.27,1.478,1.245,1.411,18707194.737
2020-09-25 00:00:00,1.41,1.45,1.333,1.403,12729370.026
2020-09-26 00:00:00,1.405,1.443,1.351,1.395,9236067.556
2020-09-27 00:00:00,1.395,1.45,1.324,1.369,7500802.893
2020-09-28 00:00:00,1.369,1.394,1.25,1.271,8124207.768
2020-09-29 00:00:00,1.267,1.288,1.196,1.254,9617591.868
